"ID","US_ENG","US_FRA","US_SPA","EU_ENG","EU_FRA","EU_ITA","EU_GER","EU_SPA","EU_NED"
"CONT_07","Data for another game is currently
 in Wii Remote memory. 

Overwrite data?
","Des données d'un autre jeu se trouvent 
déjà sur la manette Wii Remote. 

Voulez-vous les écraser?","La memoria del Wii Remote
contiene datos de otro juego.

¿Quieres sobrescribirlos?","Data for another game is currently 
in the Wii Remote memory. 

Overwrite data?","Des données d'un autre jeu se trouvent 
déjà sur la télécommande Wii. 

Voulez-vous les écraser?","Nella memoria del telecomando Wii 
si trovano dati di un altro software. 

Vuoi sovrascriverli?","Im Speicher der Wii-Fernbedienung 
befinden sich derzeit Daten, die zu 
einer anderen Software gehören. 

Diese Daten überschreiben?","La memoria del mando de Wii
contiene datos de otro juego.

¿Quieres sobrescribirlos?","Er staan al gegevens van een ander 
spel op de Wii-afstandsbediening. 

Wil je die overschrijven?"
"CONT_08","Data for TMNT: Smash-Up is already 
in Wii Remote memory. 

Overwrite data?","Des données de TMNT: Smash-Up
se trouvent déjà sur la manette 
Wii Remote. 

Voulez-vous les écraser?","La memoria del Wii Remote ya
contiene datos de TMNT: Smash-Up.

¿Quieres sobrescribirlos?","Data for TMNT: Smash-Up
is already in the Wii Remote memory.

Overwrite data?","Des données de TMNT: Smash-Up 
se trouvent déjà sur la télécommande Wii. 

Voulez-vous les écraser?","Nella memoria del telecomando Wii 
si trovano già dati di TMNT: Smash-Up.

Vuoi sovrascriverli?","Im Speicher der Wii-Fernbedienung 
befinden sich bereits Daten, die zu 
TMNT: Smash-Up gehören.

Diese Daten überschreiben?","La memoria del mando de Wii ya
contiene datos de TMNT: Smash-Up.

¿Quieres sobrescribirlos?","Er staan al gegevens van 
TMNT: Smash-Up op de 
Wii-afstandsbediening. 

Wil je die overschrijven?"
"CONT_11","Press the 1 and 2 Buttons simultaneously.","Appuyez simultanément sur les boutons 1 et 2.","Oprime los Botones 1 y 2 simultáneamente.  ","Press the 1 and 2 Buttons simultaneously.","Appuyez simultanément sur les 
boutons 1 et 2.","Premi insieme i pulsanti 1 e 2.","Drücke gleichzeitig 1- und 2-Knopf.","Pulsa los Botones 1 y 2 a la vez.","Druk tegelijk op de 1- en 2-knop."
"NAND_01","Saving.
Please do not touch the Power Button 
or RESET.","Sauvegarde en cours...
Ne touchez pas au bouton POWER 
ni au bouton RESET.","Guardando...
No toques el Botón POWER 
ni el Botón RESET.","Saving. 
Please do not touch the POWER Button 
or RESET.","Sauvegarde.
Ne touchez pas au bouton POWER 
ni au bouton RESET.","Salvataggio. Non toccare il pulsante
POWER o il pulsante RESET.","Speichervorgang. 
Bitte betätige weder den POWER-Schalter 
noch den RESET-Knopf.","Guardando. No toques el Botón POWER 
ni el Botón RESET.","Bezig met opslaan. Druk de POWER- of 
RESET-knop niet in."
"NAND_02","There is not enough available space 
in Wii system memory. 
Create 1 block of  free space either 
by moving data to an SD Card 
or deleting data in the Wii console's 
Data Management screen.

Continue without saving?","Il n'y a pas assez d'espace libre
dans la mémoire de la console Wii.
Libérez 1 bloc en transférant des
données sur une carte SD ou en
effaçant des données à partir de
l'écran de gestion des données 
de la console Wii.

Continuer sans sauvegarder?","No hay suficiente espacio libre 
en la memoria de la consola Wii.
Bloques libres necesarios: 1.
Transfiere datos a una tarjeta 
SD o borra los que no necesites 
en la pantalla de gestión de 
datos de la consola Wii.

¿Continuar sin guardar?","There is not enough available space 
in the Wii System Memory.
Create 1 block of free space by either 
moving data to an SD Card or deleting 
data on the Data Management Screen.

Continue without saving?","Il n'y a pas assez d'espace libre dans 
la mémoire de la console Wii. 
Libérez 1 bloc en transférant des 
données vers une carte SD ou 
en les effaçant depuis l'écran de 
gestion des données.

Continuer sans sauvegarder?","Non c'è abbastanza spazio libero 
nella memoria della console Wii. 
Blocchi liberi necessari: 1. 
Per creare spazio, vai allo schermo 
Gestione dati e cancella alcuni dati 
o trasferiscili in una scheda SD.

Prosegui senza salvare?","Nicht genügend freier Platz im Speicher 
der Wii-Konsole vorhanden. Bitte rufe 
den Datenverwaltungsbildschirm auf, um 
Daten auf eine SD Card zu verschieben 
oder zu löschen (erforderliche Blöcke: 1).

Ohne Speichern fortfahren?","No hay suficiente espacio libre en la 
memoria de la consola Wii.
Bloques libres necesarios: 1. 
Transfiere datos a una tarjeta SD 
o borra los que no necesites en 
la pantalla de gestión de datos.

¿Continuar sin guardar?","Er is te weinig vrije ruimte in het interne 
geheugen van het Wii-systeem.
Maak 1 blok vrij door gegevens te wissen 
of te verplaatsen naar een SD-kaart via 
het geheugenbeheer.

Verdergaan zonder opslaan?"
"NAND_03","There is not enough available space in 
Wii system memory. Either move data to 
an SD Card or delete data in the Wii 
console's Data Management screen.

Continue without saving?","Il n'y a pas assez d'espace libre 
dans la mémoire de la console Wii.
Transférez des données sur une 
carte SD ou effacez des données 
inutiles à partir de l'écran de gestion 
des données de la console Wii.

Continuer sans sauvegarder?","No hay suficiente espacio libre
en la memoria de la consola Wii.
Transfiere datos a una tarjeta 
SD o borra los que no necesites 
en la pantalla de gestión de 
datos de la consola Wii.

¿Continuar sin guardar?","There is not enough available space in 
the Wii System Memory.
Either move data to an SD Card or delete 
data on the Data Management Screen.

Continue without saving?","Il n'y a pas assez d'espace libre dans 
la mémoire de la console Wii.
Transférez des données sur une carte 
SD ou effacez des données inutiles 
depuis l'écran de gestion des données.

Continuer sans sauvegarder?","Non c'è abbastanza spazio libero nella 
memoria della console Wii. Per creare 
spazio, vai allo schermo Gestione dati 
e cancella alcuni dati o trasferiscili 
in una scheda SD.

Prosegui senza salvare?","Nicht genügend freier Platz im Speicher 
der Wii-Konsole vorhanden. Bitte rufe 
den Datenverwaltungsbildschirm auf, um 
Daten auf eine SD Card zu verschieben 
oder zu löschen.

Ohne Speichern fortfahren?","No hay suficiente espacio libre en la 
memoria de la consola Wii.
Transfiere datos a una tarjeta SD o borra 
los que no necesites en la pantalla de 
gestión de datos.

¿Continuar sin guardar?","Er is te weinig vrije ruimte in het interne 
geheugen van het Wii-systeem.
Wis gegevens of verplaats ze naar een 
SD-kaart via het geheugenbeheer.

Verdergaan zonder opslaan?"
"NAND_07","The file cannot be used because 
the data is corrupted.

Delete file?","Le fichier est corrompu et 
ne peut pas être utilisé.

Effacer le fichier?","Los datos están dañados 
y no se pueden usar.

¿Borrar datos?","The TMNT: Smash-Up file cannot be used
because the data is corrupted.

Delete file?","Le fichier TMNT: Smash-Up
 est corrompu et ne peut pas être utilisé.

Effacer le fichier?","Il file di TMNT: Smash Up non può essere 
usato perché i dati sono danneggiati.

Cancellare il file?","Die TMNT: Smash Up-Datei ist 
fehlerhaft und kann daher nicht 
verwendet werden.

Datei löschen?","Los datos de TMNT: Smash-Up están 
dañados y no se pueden usar.

¿Borrar datos?","De gegevens zijn beschadigd en kunnen 
niet worden gebruikt.

Bestand wissen?"
"NAND_08","The Wii system memory has been damaged.
Refer to the Wii Operations Manual for details.","La mémoire de la console Wii a 
été endommagée. Veuillez vous 
référer au Mode d'emploi de la 
Wii pour plus de détails.","La memoria de la consola  Wii está dañada.
Consulta el manual de operaciones de la 
consola Wii para obtener más información.","The Wii System Memory has been damaged. 
Please refer to the Wii Operations 
Manual for details.","La mémoire de la console Wii est 
endommagée. Veuillez vous référer au 
mode d'emploi Wii pour plus de détails.","La memoria della console Wii 
è danneggiata. Per maggiori 
informazioni, consulta il manuale 
di istruzioni della console Wii.","Der Speicher der Wii-Konsole 
ist beschädigt. Bitte lies die 
Wii-Bedienungsanleitung, um 
weitere Informationen zu erhalten.","La memoria de la consola Wii 
está dañada. Consulta el manual 
de instrucciones de la consola 
Wii para obtener más información.","Het interne geheugen van het 
Wii-systeem is beschadigd. Lees 
de handleiding voor meer informatie."
"NAND_09","Saving in progress. 
Please do not touch the Power Button 
or RESET.","Sauvegarde en cours...
Ne touchez pas au bouton 
POWER ni au bouton RESET.","Guardando. 
No toques el Botón POWER 
ni el Botón RESET.","Saving in progress. 
Please do not touch the POWER Button 
or RESET.","Sauvegarde en cours.
Ne touchez pas au bouton POWER 
ni au bouton RESET.","Salvataggio in corso. Non toccare il
pulsante POWER o il pulsante RESET.","Daten werden gespeichert. 
Bitte betätige weder den POWER-Schalter 
noch den RESET-Knopf.","Guardando. 
No toques el Botón POWER ni el Botón RESET.","Bezig met opslaan... 
Druk de POWER- of RESET-knop niet in."
"NAND_11","Could not access Wii system memory.
Refer to the Wii Operations Manual 
for details.
","Impossible d'accéder à la 
mémoire de la console Wii. Veuillez 
vous référer au Mode d'emploi de 
la Wii pour plus de détails.","No se ha podido acceder a la memoria 
de la consola Wii. Consulta el manual 
de operaciones de la consola Wii para 
obtener más información.","Could not access the Wii System Memory. 
Please refer to the Wii Operations 
Manual for details.","Impossible d'accéder à la mémoire de la 
console Wii. Veuillez vous référer au 
mode d'emploi Wii pour plus de détails.","Impossibile accedere alla memoria 
della console Wii.
Per maggiori informazioni, consulta il 
manuale di istruzioni della console Wii.","Auf den Speicher der Wii-Konsole 
konnte nicht zugegriffen werden.
Bitte lies die Wii-Bedienungsanleitung, 
um weitere Informationen zu erhalten.","No se ha podido acceder a la memoria
de la consola Wii. Consulta el manual
de instrucciones de la consola Wii
para obtener más información.","Het interne geheugen van het 
Wii-systeem kan niet worden 
gelezen of beschreven.
Lees de handleiding voor meer informatie."
"NAND_12","An error occurred while 
accessing Wii system memory.
Refer to the Wii Operations 
Manual for details.","Une erreur est survenue pendant le 
processus de lecture ou d'écriture 
dans la mémoire de la console Wii.
Veuillez vous référer au Mode d'emploi 
de la Wii pour plus de détails.","Se ha producido un error al intentar 
acceder a la memoria de la consola Wii.
Consulta el manual de operaciones de la 
consola Wii para obtener más información.","An error occurred during the process of 
reading from or writing to the Wii System 
Memory. Please refer to the Wii 
Operations Manual for details.","Une erreur est survenue avec la 
mémoire de la console Wii pendant le 
processus de lecture ou d'écriture. 
Veuillez vous référer au mode d'emploi 
Wii pour plus de détails.","Si è verificato un errore durante la 
lettura o la modifica dei dati all'interno 
della memoria della console Wii. 
Per maggiori informazioni, consulta il 
manuale di istruzioni della console Wii.","Beim Zugriff auf den Speicher der 
Wii-Konsole ist ein Fehler aufgetreten. 
Bitte lies die Wii-Bedienungsanleitung, 
um weitere Informationen zu erhalten.","Se ha producido un error durante la 
lectura o escritura de la memoria de 
la consola Wii. Consulta el manual de 
instrucciones de la consola Wii para 
obtener más información.","Er is een fout opgetreden tijdens het 
lezen of beschrijven van het interne 
geheugen van het Wii-systeem. Lees 
de Wii-handleiding voor meer informatie."
"WIFI_01","Nintendo Wi-Fi Connection cannot be used 
because data cannot be saved in 
Wii system memory.","Les données ne peuvent pas être
sauvegardées dans la mémoire
de la console Wii. Impossible
d'utiliser la connexion Wi-Fi Nintendo.","No se ha podido usar la Conexión Wi-Fi 
de Nintendo porque no se pueden 
guardar datos en la memoria de la 
consola Wii.","Nintendo Wi-Fi Connection cannot be used 
because data cannot be saved in the 
Wii System Memory.
","Les données ne peuvent pas être
sauvegardées dans la mémoire
de la console Wii. Impossible
d'utiliser la connexion Wi-Fi Nintendo.","Poiché i dati non possono essere 
salvati nella memoria della console Wii, 
non è possibile utilizzare la 
Nintendo Wi-Fi Connection.","Es kann keine Verbindung zur 
Nintendo Wi-Fi Connection hergestellt 
werden, da die Daten nicht im Speicher 
der Wii-Konsole abgelegt werden können.","No se ha podido usar la Conexión Wi-Fi 
de Nintendo porque no se pueden 
guardar datos en la memoria de la 
consola Wii.","De Nintendo Wi-Fi Connection kan niet worden gebruikt, omdat er geen gegevens kunnen worden opgeslagen in het interne geheugen van het Wii-systeem."
"WIFI_02","Unable to connect to 
Nintendo Wi-Fi Connection. 
For help, check the 
software instruction booklet, 
or go to support.nintendo.com.","Impossible de se connecter à
la connexion Wi-Fi Nintendo.
Pour toute assistance, consultez
le mode d'emploi ou visitez le
site support.nintendo.com.","No se ha podido acceder a la Conexión
Wi-Fi de Nintendo. Para obtener ayuda,
consulta el manual de instrucciones o
visita el sitio web support.nintendo.com.","Unable to connect to 
Nintendo Wi-Fi Connection. 
For help, check the 
software Instruction booklet,
or visit support.nintendo.com.","Impossible de se connecter à
la connexion Wi-Fi Nintendo.
Pour toute assistance, consultez
le mode d'emploi ou visitez le
site support.nintendo.com.","Impossibile collegarsi alla Nintendo Wi-Fi
Connection. Per informazioni, consulta il
manuale di istruzioni del software o visita 
il sito Internet support.nintendo.com","Keine Verbindung zur Nintendo 
Wi-Fi Connection möglich. 
Besuche support.nintendo.com 
oder lies die Software-Anleitung, 
um weitere Hilfe zu erhalten.","No se ha podido acceder a la Conexión
Wi-Fi de Nintendo. Para obtener ayuda,
consulta el manual de instrucciones o
visita el sitio web support.nintendo.com.","Kan geen verbinding maken met de 
Nintendo Wi-Fi Connection. Kijk voor 
meer informatie in de handleiding van 
de software of op support.nintendo.com."
"WIFI_03","Either Nintendo Wi-Fi Connection 
is experiencing high traffic 
volumes or the service is down. 
Please try again later. 
For help, visit support.nintendo.com.","Impossible de se connecter.
La connexion Wi-Fi Nintendo connaît
un trafic trop important ou le service
est interrompu. Veuillez réessayer
ultérieurement. Pour toute assistance,
visitez le site support.nintendo.com.","La Conexión Wi-Fi de Nintendo tiene un
volumen de tráfico demasiado elevado 
o el servicio se ha interrumpido.
Vuelve a intentar conectarte más tarde.
Para obtener ayuda, visita el sitio web
support.nintendo.com.","Either Nintendo Wi-Fi Connection 
is experiencing high traffic volumes 
or the service is down.
Please try again later. 
For help, visit support.nintendo.com.","Impossible de se connecter.
La connexion Wi-Fi Nintendo connaît
un trafic trop important ou le service
est interrompu. Veuillez réessayer
ultérieurement. Pour toute assistance,
visitez le site support.nintendo.com.","Impossibile collegarsi. La Nintendo Wi-Fi 
Connection sta registrando un alto volume 
di traffico o il servizio è momentaneamente 
interrotto. 
Riprova più tardi. Per informazioni, 
visita il sito Internet support.nintendo.com","Es konnte keine Verbindung hergestellt 
werden. Entweder ist die Nintendo Wi-Fi 
Connection mit starkem Datenverkehr 
ausgelastet oder der Service steht 
vorübergehend nicht zur Verfügung. 
Versuche es später noch einmal. 
Besuche support.nintendo.com, 
um weitere Hilfe zu erhalten.","La Conexión Wi-Fi de Nintendo tiene un
volumen de tráfico demasiado elevado 
o el servicio se ha interrumpido.
Vuelve a intentar conectarte más tarde.
Para obtener ayuda, visita el sitio web
support.nintendo.com.","Kan geen verbinding maken. De Nintendo 
Wi-Fi Connection is momenteel zeer druk 
bezet of de service is buiten bedrijf. 
Probeer het later nog eens.
Kijk op support.nintendo.com voor 
meer informatie."
"WIFI_04","Nintendo Wi-Fi Connection service for
this software has been discontinued.
Visit support.nintendo.com for a list of
current Nintendo Wi-Fi Connection-
compatible software.","Le service de connexion Wi-Fi Nintendo 
pour ce logiciel a été interrompu. 
Visitez le site support.nintendo.com pour 
une liste actuelle des logiciels compatibles 
avec la connexion Wi-Fi Nintendo.","El servicio de Conexión Wi-Fi de Nintendo
ya no está disponible para este juego.
Visita support.nintendo.com para ver la 
lista completa de juegos actualmente 
compatibles con la Conexión Wi-Fi 
de Nintendo.","The Nintendo Wi-Fi Connection service 
for this software has been discontinued.
Visit support.nintendo.com for a list of 
current Nintendo Wi-Fi Connection-
compatible software.","Le service de connexion Wi-Fi Nintendo 
pour ce logiciel a été interrompu. 
Visitez le site support.nintendo.com pour 
une liste actuelle des logiciels compatibles 
avec la connexion Wi-Fi Nintendo.","Il servizio Nintendo Wi-Fi Connection per 
questo software non è più disponibile. 
Visita il sito Internet support.nintendo.com 
per una lista dei software compatibili con 
la Nintendo Wi-Fi Connection.","Der Nintendo Wi-Fi Connection Service 
für diesen Titel wurde eingestellt. 
Besuche support.nintendo.com, um eine 
Liste der Titel einzusehen, die Nintendo 
Wi-Fi Connection unterstützen.","El servicio de Conexión Wi-Fi de Nintendo
ya no está disponible para este juego.
Visita support.nintendo.com para ver la 
lista completa de juegos actualmente 
compatibles con la Conexión Wi-Fi 
de Nintendo.","Deze software wordt niet langer 
ondersteund door de Nintendo Wi-Fi 
Connection. Kijk op support.nintendo.com 
voor de huidige lijst van software die 
werkt met de Nintendo Wi-Fi Connection."
"WIFI_05","There is not enough available 
space in Wii system memory.
Either turn off the console 
or return to the Wii Menu.","Espace libre insuffisant dans la mémoire 
de la console Wii. Veuillez éteindre la 
console ou retourner au menu Wii.","No hay suficiente espacio libre en
la memoria de la consola Wii.
Apaga la consola o vuelve al menú de Wii.","There is not enough available 
space in the Wii System Memory.
Either turn off the console or 
return to the Wii Menu.","Espace libre insuffisant dans la mémoire 
de la console Wii. Veuillez éteindre la 
console ou retourner au menu Wii.","Non c'è abbastanza spazio libero nella 
memoria della console Wii. Spegni la 
console o torna al menu Wii.","Nicht genügend freier Platz im Speicher der 
Wii-Konsole vorhanden. Schalte die Konsole 
aus oder kehre zurück zum Wii-Menü.","No hay suficiente espacio libre en
la memoria de la consola Wii.
Apaga la consola o vuelve al menú de Wii.","Er is te weinig vrije ruimte in het 
interne geheugen van het Wii-systeem.
Zet het Wii-systeem uit of ga terug 
naar het Wii-menu."
"WIFI_06","The Wii system memory has been 
damaged. Refer to the Wii 
Operations Manual for details.","La mémoire de la console 
Wii est endommagée.
Veuillez vous référer au mode 
d'emploi Wii pour plus de détails.","La memoria de la consola Wii está
dañada. Consulta el manual de 
instrucciones de la consola Wii 
para obtener más información.","The Wii System Memory has been 
damaged. Refer to the Wii 
Operations Manual for details.","La mémoire de la console 
Wii est endommagée.
Veuillez vous référer au mode 
d'emploi Wii pour plus de détails.","La memoria della console Wii è danneggiata.
Per maggiori informazioni, consulta il 
manuale di istruzioni della console Wii.","Der Speicher der Wii-Konsole ist beschädigt. 
Bitte lies die Wii-Bedienungsanleitung, 
um weitere Informationen zu erhalten.","La memoria de la consola Wii está
dañada. Consulta el manual de 
instrucciones de la consola Wii 
para obtener más información.","Het interne geheugen van het 
Wii-systeem is beschadigd.
Lees de Wii-handleiding voor 
meer informatie."
"WIFI_07","Unable to connect to the Internet.
Confirm the Internet settings of the 
Wii console.","Impossible de se connecter à Internet.
Vérifiez les paramètres Internet de 
la console Wii.","No se ha podido establecer la conexión
a internet. Comprueba la configuración 
de internet de la consola Wii.","Unable to connect to the internet.
Confirm the internet settings of the 
Wii console.","Impossible de se connecter à Internet.
Vérifiez les paramètres Internet de 
la console Wii.","Impossibile connettersi a Internet.
Controlla le impostazioni di collegamento 
a Internet della console Wii.","Es kann keine Verbindung zum Internet 
hergestellt werden.
Bitte überprüfe die Einstellungen der 
Verbindung in den Internet-Einstellungen.","No se ha podido establecer la conexión
a internet. Comprueba la configuración 
de internet de la consola Wii.","Kan geen verbinding maken met het 
internet. Controleer de internetinstellingen 
van het Wii-systeem."
"WIFI_08","There is no response. Either the 
player is not connected to Nintendo 
Wi-Fi Connection, or you have been 
removed from the player's friend roster.","Aucune réponse. Le joueur n'est 
pas connecté à la connexion 
Wi-Fi Nintendo ou vous n'êtes 
pas dans sa liste d'amis.","No se recibe ninguna señal. Puede que
el otro jugador se haya desconectado
de la Conexión Wi-Fi de Nintendo o que
ya no figures en su lista de amigos.","There is no response. Either the player 
is not connected to Nintendo Wi-Fi 
Connection, or you have been removed 
from the player's Friend Roster.","Aucune réponse. Le joueur n'est 
pas connecté à la connexion 
Wi-Fi Nintendo ou vous n'êtes 
pas dans sa liste d'amis.","Nessuna risposta.
Il giocatore non è collegato alla
Nintendo Wi-Fi Connection, oppure 
non sei più nella sua lista di amici.","Es erfolgt keine Rückmeldung. Entweder 
wurde die Verbindung getrennt oder du 
wurdest von der Freundesliste des 
Spielers entfernt.  ","No se recibe ninguna señal. Puede que
el otro jugador se haya desconectado
de la Conexión Wi-Fi de Nintendo o que
ya no figures en su lista de amigos.","Er is geen antwoord ontvangen. De speler 
is niet verbonden met de Nintendo Wi-Fi 
Connection of je bent verwijderd van de 
vriendenlijst van deze speler. "
